seriesID,year,period,value,footnotes,month,date
CUUR0000SA0L1E,2025,M09,330.804,,9,2025-09-01
CUUR0000SA0L1E,2025,M08,329.970,,8,2025-08-01
CUUR0000SA0L1E,2025,M07,328.980,,7,2025-07-01
CUUR0000SA0L1E,2025,M06,328.364,,6,2025-06-01
CUUR0000SA0L1E,2025,M05,327.509,,5,2025-05-01
CUUR0000SA0L1E,2025,M04,326.815,,4,2025-04-01
CUUR0000SA0L1E,2025,M03,325.933,,3,2025-03-01
CUUR0000SA0L1E,2025,M02,325.252,,2,2025-02-01
CUUR0000SA0L1E,2025,M01,323.842,,1,2025-01-01
CUUR0000SA0L1E,2024,M12,322.007,,12,2024-12-01
CUUR0000SA0L1E,2024,M11,321.947,,11,2024-11-01
CUUR0000SA0L1E,2024,M10,321.758,,10,2024-10-01
CUUR0000SA0L1E,2024,M09,321.109,,9,2024-09-01
CUUR0000SA0L1E,2024,M08,320.017,,8,2024-08-01
CUUR0000SA0L1E,2024,M07,319.214,,7,2024-07-01
CUUR0000SA0L1E,2024,M06,319.003,,6,2024-06-01
CUUR0000SA0L1E,2024,M05,318.629,,5,2024-05-01
CUUR0000SA0L1E,2024,M04,317.978,,4,2024-04-01
CUUR0000SA0L1E,2024,M03,317.088,,3,2024-03-01
CUUR0000SA0L1E,2024,M02,315.419,,2,2024-02-01
CUUR0000SA0L1E,2024,M01,313.623,,1,2024-01-01
CUUR0000SA0L1E,2023,M12,311.907,,12,2023-12-01
CUUR0000SA0L1E,2023,M11,311.606,,11,2023-11-01
CUUR0000SA0L1E,2023,M10,311.380,,10,2023-10-01
CUUR0000SA0L1E,2023,M09,310.817,,9,2023-09-01
CUUR0000SA0L1E,2023,M08,310.103,,8,2023-08-01
CUUR0000SA0L1E,2023,M07,309.402,,7,2023-07-01
CUUR0000SA0L1E,2023,M06,308.910,,6,2023-06-01
CUUR0000SA0L1E,2023,M05,308.096,,5,2023-05-01
CUUR0000SA0L1E,2023,M04,306.899,,4,2023-04-01
CUUR0000SA0L1E,2023,M03,305.476,,3,2023-03-01
CUUR0000SA0L1E,2023,M02,304.011,,2,2023-02-01
CUUR0000SA0L1E,2023,M01,301.962,,1,2023-01-01
CUUR0000SA0L1E,2022,M12,300.113,,12,2022-12-01
CUUR0000SA0L1E,2022,M11,299.600,,11,2022-11-01
CUUR0000SA0L1E,2022,M10,299.315,,10,2022-10-01
CUUR0000SA0L1E,2022,M09,298.442,,9,2022-09-01
CUUR0000SA0L1E,2022,M08,297.178,,8,2022-08-01
CUUR0000SA0L1E,2022,M07,295.646,,7,2022-07-01
CUUR0000SA0L1E,2022,M06,294.680,,6,2022-06-01
CUUR0000SA0L1E,2022,M05,292.506,,5,2022-05-01
CUUR0000SA0L1E,2022,M04,290.846,,4,2022-04-01
CUUR0000SA0L1E,2022,M03,289.305,,3,2022-03-01
CUUR0000SA0L1E,2022,M02,288.059,,2,2022-02-01
CUUR0000SA0L1E,2022,M01,285.996,,1,2022-01-01
CUUR0000SA0L1E,2021,M12,283.908,,12,2021-12-01
CUUR0000SA0L1E,2021,M11,282.754,,11,2021-11-01
CUUR0000SA0L1E,2021,M10,281.617,,10,2021-10-01
CUUR0000SA0L1E,2021,M09,279.884,,9,2021-09-01
CUUR0000SA0L1E,2021,M08,279.507,,8,2021-08-01
CUUR0000SA0L1E,2021,M07,279.146,,7,2021-07-01
CUUR0000SA0L1E,2021,M06,278.218,,6,2021-06-01
CUUR0000SA0L1E,2021,M05,275.893,,5,2021-05-01
CUUR0000SA0L1E,2021,M04,273.968,,4,2021-04-01
CUUR0000SA0L1E,2021,M03,271.713,,3,2021-03-01
CUUR0000SA0L1E,2021,M02,270.696,,2,2021-02-01
CUUR0000SA0L1E,2021,M01,269.755,,1,2021-01-01
CUUR0000SA0L1E,2020,M12,269.226,,12,2020-12-01
CUUR0000SA0L1E,2020,M11,269.473,,11,2020-11-01
CUUR0000SA0L1E,2020,M10,269.328,,10,2020-10-01
CUUR0000SA0L1E,2020,M09,269.054,,9,2020-09-01
CUUR0000SA0L1E,2020,M08,268.756,,8,2020-08-01
CUUR0000SA0L1E,2020,M07,267.703,,7,2020-07-01
CUUR0000SA0L1E,2020,M06,266.302,,6,2020-06-01
CUUR0000SA0L1E,2020,M05,265.799,,5,2020-05-01
CUUR0000SA0L1E,2020,M04,266.089,,4,2020-04-01
CUUR0000SA0L1E,2020,M03,267.312,,3,2020-03-01
CUUR0000SA0L1E,2020,M02,267.268,,2,2020-02-01
CUUR0000SA0L1E,2020,M01,266.004,,1,2020-01-01
CEU0000000001,2025,M09,159732,preliminary,9,2025-09-01
CEU0000000001,2025,M08,159415,preliminary,8,2025-08-01
CEU0000000001,2025,M07,159219,,7,2025-07-01
CEU0000000001,2025,M06,160256,,6,2025-06-01
